,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
37,37,2,0.0094155355850929,179,150573.08260889267,0.5163842812321775,-0.4054479198069055,-0.7124906497207717,779.8495455853865,0.0330905815467311,24.883273809523853,22.932429566595477
38,38,3,0.0095279588641797,402,310676.6099647176,0.5423836065619417,-0.2237696493605222,-0.5002414775958763,622.451740365699,0.0148980655506329,67.98230277518577,12.96052208024517
39,39,4,0.0099249623592111,764,473503.18756077474,0.6893755557291331,0.046789760833491,-0.0838527843467288,669.9205825344942,0.012422918542208,66.89664364392371,24.722271723527108
40,40,5,0.0099556133265473,855,1545906.3097213935,0.7131467069337663,-0.4688482383463621,-0.1382501252794758,1495.7496315347112,0.0166717343182603,40.00425109963358,37.12597389931566
41,41,2,0.0101556277212549,249,175297.97445619776,0.3818840909278501,-0.3031344182687633,-0.1509075786058933,776.9711602073425,0.009114600915511,64.82369457013571,26.62981633718567
42,42,3,0.0102034235106123,1634,1400526.7955287138,0.1696406012488075,-0.3003123179158014,-0.3032037784353438,1650.2696130280865,0.0259656399045297,52.30730006866377,9.274483096040498
43,43,6,0.0105494224773341,657,1146490.5533864324,0.4084464791884199,-0.0448905685557414,0.2445176259605881,868.3418861204034,0.0134261966117566,51.14618937971917,4.568548728021789
44,44,4,0.010592754166992,629,333508.77215731994,0.5178288602007919,-0.3526352146078544,0.2896061591681408,660.4669593915896,0.0063307910222621,62.8531490240883,28.561259870652947
45,45,3,0.0111922128549967,452,144401.82791904925,0.5252970554126445,-0.2093663451104021,-0.5198569562264863,755.5986144059785,0.0266485209796618,62.4609193094556,21.388994385878288
46,46,6,0.0112809458727198,1445,59557504.21084833,0.3783808483425291,0.1499914792233559,0.2746396895791039,829.2537938329446,0.0143728229055559,45.53400210759505,164.8011859168648
47,47,2,0.0113936741981088,276,825096.9749464174,0.188347390968729,0.1269572980609895,-0.0372414989921723,556.8907942569259,0.0205993209057027,43.65387772995379,11.3776911063622
