,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
42,42,2,0.0077730113106327,196,145082.89139552275,0.6574501012669351,-0.543568747852222,-0.7685835270057781,1282.4784547682525,0.0442676569984455,54.93577759197322,6.912278278465099
43,43,3,0.0081195695362064,438,726840.8552064918,0.5636630708738944,-0.5639093177991154,-0.4133294936994859,1013.5607719340718,0.0168254280434417,68.75081984760813,40.38468856881726
44,44,3,0.0081415289773254,266,2039505.505934378,0.6569511994210679,-0.4806226787435073,-0.3537511307491248,872.809566265943,0.016734858860164,46.07381181139211,119.2243171939568
45,45,2,0.0085064205450044,285,426627.05418795167,0.3996209445586345,-0.7194969279377701,-0.7919477950802133,890.7305569980966,0.0464963233427195,57.37533120204604,46.59831577383659
46,46,2,0.0090752521749971,175,445223.94631233416,0.7152289429393633,0.4306125714672928,0.3770208045556824,399.4265409227213,0.0048735134901346,58.93499999999999,71.40050524408932
47,47,2,0.0094155355850929,179,150573.08260889267,0.5163842812321775,-0.359519756205667,-0.7899452521460975,779.8495455853865,0.0330905815467311,24.883273809523853,22.932429566595477
48,48,2,0.009517573149638,303,148746.8995902564,0.1678939358722806,-0.4645397362370371,-0.869247009559589,988.0162480805844,0.0746129505276383,47.44883344507228,15.86264176464372
49,49,5,0.0097379354687334,557,813483.8185202919,0.519283600085731,0.1171374707178632,-0.4544636368458926,619.0750136580243,0.0179023052294491,57.63671670483827,17.83341651594677
50,50,3,0.0098719436029549,355,567399.57221204,0.4236044262665537,-0.3785432642389603,-0.7204931791601696,711.135683453987,0.0505168186606087,54.69466669489537,2.908000661982383
51,51,2,0.0101338020884864,176,149700.52769210236,0.5484863346068135,-0.3389509015062592,0.5897254579069962,1509.6490124367615,0.0049905204305616,51.31019210526311,2.100604512553757
52,52,2,0.0102384642090311,208,21266.88355040342,0.3516444733009113,0.4881896920608697,-0.3298988243309406,230.9486240590648,0.0113543308865988,44.332087998519526,12.48593325507667
53,53,2,0.010259512121119,198,99897.89924239484,0.4729167256501576,-0.8302167503333246,-0.3898912651827235,1786.2240401407068,0.0150756731369958,64.36802551020408,22.700058788616104
54,54,4,0.0106766119471533,690,464624.2967242674,0.4129855846143208,-0.277762390243437,-0.4341647258999299,549.2044066316472,0.0153287917624547,50.50908264765032,23.0251434878648
