,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
54,54,5,0.0179072074248134,449,2655328.9369386034,0.4011655198506206,-0.3506996176807103,-0.6213136332690361,1029.4345512027714,0.0174319956804214,54.86684334892232,82.6008441741919
55,55,2,0.0182964578282901,120,102669.401712158,0.3944033616048374,0.14096282275762,-0.6660330476109244,386.7183072745697,0.021318015370953,62.57791666666667,41.3364088165381
56,56,2,0.0187017733195351,260,6881307.86368803,0.4698044024744113,0.7512124728453872,-0.1770944363441687,320.37375055674295,0.0072582221259826,53.57624731439486,136.65793798015412
57,57,4,0.0191757358211915,275,61815.7227157186,0.3069540601239485,-0.5469515819400863,-0.5909837369503481,1391.8576107785232,0.0483485404011704,29.80152429389689,31.80211255789424
58,58,5,0.0192518903682764,573,1353520.160058987,0.5206042603517169,-0.3569036413319757,-0.1318933457560156,779.8578088109571,0.0175678061158212,33.33489902789542,56.38083896788978
59,59,2,0.0192717171555502,136,291256.96277462906,0.3122176641079169,0.2411433606002166,-0.1994783794820939,556.8907942569259,0.0349129720436003,42.34877631578948,19.51834292048929
60,60,13,0.0193535417518955,3391,3830172.678891869,0.3238903245648338,-0.1055860650189757,0.0344585981049837,904.6539389777088,0.0184433421395397,53.58710971571744,8.988876947154965
61,61,2,0.0195534126503309,246,66940.28129704052,0.437213786671018,-0.0529819554625551,-0.6173628647229585,1061.7460203049543,0.0432156731816209,45.75374602122013,7.540996423103495
62,62,2,0.0197870601743358,134,8197.12823297833,0.3140081123386276,0.1735845446176033,-0.5299323500547659,1582.3482154482256,0.0380069524013876,31.392779279279264,8.157660944629555
63,63,2,0.0207002867020827,255,168027.31833446887,0.4185393265285639,-0.6342814164486921,-0.0184850073188251,2237.5965233514275,0.0127405423946883,50.982814376876895,56.0628215891105
64,64,3,0.0209203573913127,180,8878855.68057787,0.1439677926743037,-0.5471452368522858,0.2967278578631778,1019.4096937512414,0.003626153349892,60.67161111111111,272.41697055346856
65,65,2,0.0209847325993049,268,155960.49029012443,0.5612262023681959,0.4492290224334286,0.119634465688996,283.4764066486708,0.0092217311456695,28.61484266221113,23.56660682791444
66,66,7,0.021436821434607,476,12405842.74141185,0.4367858567654986,-0.1722350062265383,-0.5618468117266933,614.7325743498603,0.0185744702590532,55.29441122190463,182.4445461884348
67,67,7,0.0218814157635745,3091,3511916.21992743,0.0958472017088803,-0.0770654201900114,-0.0870506655686984,1156.518484603008,0.0172435430847307,60.71995475913101,10.915826609063924
68,68,10,0.022419537435281,1693,781927.6435844518,0.470701878800123,-0.2939863487354911,-0.2942647124785034,1314.428873474565,0.0299706521261745,37.232519803557466,13.568294537694369
69,69,5,0.0227100591759363,326,355196.155748685,0.4623406053413633,-0.4521484223597339,-0.6014167456682431,981.614621264195,0.0290037826322778,55.6943236299914,46.21446322056587
70,70,2,0.0234802940993435,165,180900.60689059852,-0.0531916997559159,0.4959079623762109,-0.6794558255778597,226.8945687342355,0.0669580824455767,29.997499999999985,60.676916014792056
71,71,7,0.0235454346280371,563,21698926.856476843,0.3715863294910154,-0.4836869541598432,-0.7533277603417057,1006.3860615311476,0.0566235826595351,40.42560006007199,193.39113451003217
72,72,3,0.0240187866552809,234,53093.51402841991,0.4754507762783495,-0.0850171617963723,-0.2066564241044635,1025.9331607743725,0.0440080078499229,56.96344165671047,19.625934484940192
73,73,7,0.0251297029463063,661,2368847.578798558,0.434651303818524,-0.4907913003755722,-0.1692975037128803,784.1187344387419,0.0413975006041453,36.484926150396646,90.84328019107542
74,74,2,0.0257912756699777,257,1120296.5932651272,0.0395253194147855,0.0478396672317597,-0.3119932646180378,622.40497719281,0.0158012083385714,31.403049666868544,88.06566559202292
75,75,6,0.0262730960129731,360,258315.3067101022,0.6443054084760464,-0.1125645253650967,-0.2130855826511382,1123.2277263278868,0.0212094661863568,51.78227777777778,26.409329520172907
76,76,4,0.0263177224253218,269,27934100.16136959,0.1279212422888157,-0.4429143786765215,-0.5833771737629329,1026.050139136517,0.0200532801443451,55.67054220934928,333.8776026032488
77,77,9,0.0272910056019358,1883,4078632.614436914,0.3124624930587304,0.1585464219209182,0.0037511733770357,554.8407486566797,0.0128187193110163,50.74668279172906,35.51752633374129
78,78,15,0.027375461390829,8208,9531542.808308208,0.267842344859991,-0.0541529736860351,0.2019787185595514,1198.713510603722,0.011496341365502,58.41331089571369,14.349346325697208
79,79,2,0.0277965535672347,136,71061.03014390623,0.4095693875003022,0.056478047940665,0.2821642416073995,503.4768127107175,0.0169097968989988,56.24221530054644,74.28207930911535
80,80,9,0.0284834013644318,1985,40718692.30584675,0.2611856099474989,-0.4227391438545873,0.1111427951786846,1114.2818296653622,0.0189788185195598,33.97935617793898,84.8769510710239
81,81,3,0.0287976008146877,428,176842.29892581678,0.4886525835472586,0.0344350170142506,-0.4492389465281812,240.66937335407957,0.0130296913217777,63.81629507362223,33.23592840322931
82,82,3,0.0294369057701997,218,96887.10084889772,0.1470601223502518,-0.34178232124401,-0.4984739970826246,893.7894836216475,0.0111434969665197,61.92539417989419,37.89784272767583
